ticker,headline,source,date,polarity_score,sentiment,vader_score,vader_sentiment,finbert_sentiment,finbert_confidence
NVDA,MarketBeat Week in Review – 05/18 - 05/22,MarketBeat,2026-05-23T11:00:00Z,0.0,Neutral,0.0,Neutral,neutral,0.8741
NVDA,SMH vs SOXX: Which Semiconductor ETF Should You Buy in 2026?,Etf.com,2026-05-22T22:32:46Z,0.0,Neutral,-0.4648,Negative,neutral,0.9358
AMZN,Man On Fire 2004 1080p AMZN WEB-DL H264-Kitsune,Rlsbb.to,2026-05-24T12:23:56Z,0.0,Neutral,-0.34,Negative,neutral,0.9314
AMZN,System 2026 1080p AMZN WEB-DL H264 Atmos-UBWEB,Rlsbb.to,2026-05-24T11:34:48Z,0.0,Neutral,0.0,Neutral,neutral,0.9345
AMZN,The Bowens A Portrait Of An American Family 2026 720p AMZN WEB-DL H264-playWEB,Rlsbb.to,2026-05-24T11:22:22Z,0.0,Neutral,0.0,Neutral,neutral,0.9305
AMZN,Philly Homicide S02E06 720p AMZN WEB-DL H264-RAWR,Rlsbb.to,2026-05-24T11:07:19Z,0.0,Neutral,0.0,Neutral,neutral,0.9345
AMZN,Milked 2022 1080p AMZN WEB-DL H264-cinepth,Rlsbb.to,2026-05-24T10:53:39Z,0.0,Neutral,0.0,Neutral,neutral,0.9341
AMZN,The Only Way Is Essex S36E09 1080p AMZN WEB-DL H264-RAWR,Rlsbb.to,2026-05-24T10:35:16Z,0.0,Neutral,0.0,Neutral,neutral,0.9453
AMZN,Fossil 2023 1080p AMZN WEB-DL H264-MADSKY,Rlsbb.to,2026-05-24T08:09:52Z,0.0,Neutral,0.0,Neutral,neutral,0.9384
AMZN,Unsere Zeit Wird Kommen 2025 1080p AMZN WEB-DL H264-MADSKY,Rlsbb.to,2026-05-24T08:09:52Z,0.0,Neutral,0.0,Neutral,neutral,0.9068
AMZN,D Is For Distance 2025 720p AMZN WEB-DL H264-MADSKY,Rlsbb.to,2026-05-24T07:51:41Z,0.0,Neutral,0.0,Neutral,neutral,0.9439
AMZN,You Me And Her 2023 1080p AMZN WEB-DL H264-tcshades,Rlsbb.to,2026-05-24T07:51:41Z,0.0,Neutral,0.0,Neutral,neutral,0.94
GOOGL,Paul Tudor Jones makes $8 billion bet on small-cap chaos,TheStreet,2026-05-23T18:33:00Z,0.0,Neutral,-0.5719,Negative,neutral,0.9108
GOOGL,"Billionaire Bill Ackman Pours $2,092,970,000 Into One Asset, Dumps Uber and Two Mag 7 Stocks",The Daily Hodl,2026-05-23T14:00:38Z,0.0,Neutral,-0.0516,Negative,neutral,0.7178
GOOGL,We’re Not in a Bubble. Wall Street Just Hasn’t Caught Up With the New ‘Physics’ of the Stock Market.,Barchart.com,2026-05-23T13:30:02Z,0.13636363636363635,Positive,0.0,Neutral,negative,0.5203
GOOGL,"These cybersecurity stocks are poised for rapid growth through 2028, and some of them are cheap right now",MarketWatch,2026-05-23T13:00:00Z,0.34285714285714286,Positive,0.5574,Positive,neutral,0.5812
GOOGL,Apple shares hit new all-time intraday and closing highs,Macdailynews.com,2026-05-22T20:17:09Z,0.13636363636363635,Positive,0.296,Positive,positive,0.8693
GOOGL,Apple shares hit new all-time intraday and closing highs,Macdailynews.com,2026-05-21T20:13:07Z,0.13636363636363635,Positive,0.296,Positive,positive,0.8693
GOOGL,Alphabet (GOOGL): Moving Beyond Search in the AI Revolution,Yahoo Entertainment,2026-05-21T16:19:38Z,0.0,Neutral,0.0,Neutral,neutral,0.7602
GOOGL,"Dear Future OpenAI Stock Investors, Mark Your Calendars for May 22",Barchart.com,2026-05-21T15:42:42Z,0.0,Neutral,0.3818,Positive,neutral,0.9392
GOOGL,"MGK Holds 46 Percent in Just Five Stocks, And That Concentration Is Driving Most of Its Recent Gains",24/7 Wall St.,2026-05-21T13:15:12Z,0.25,Positive,0.34,Positive,neutral,0.9298
GOOGL,Berkshire Hathaway Sold 16 Stocks in Q1 but Warren Buffett and Greg Abel Still Have 70% in Just 7 Stocks,24/7 Wall St.,2026-05-21T11:42:20Z,0.0,Neutral,0.0,Neutral,neutral,0.9202
GOOG,"Crypto rails are becoming the default payment layer for AI agents, report says",CoinDesk,2026-05-24T13:00:00Z,0.45,Positive,0.0,Neutral,neutral,0.9279
GOOG,"Billionaire Bill Ackman Pours $2,092,970,000 Into One Asset, Dumps Uber and Two Mag 7 Stocks",The Daily Hodl,2026-05-23T14:00:38Z,0.0,Neutral,-0.0516,Negative,neutral,0.7178
GOOG,Is Alphabet Inc. (GOOG) One of the Best Communication Stocks to Invest In?,Yahoo Entertainment,2026-05-23T11:54:57Z,1.0,Positive,0.6369,Positive,neutral,0.8368
GOOG,SEC's Peirce tempers expectations over tokenized stocks exemption,Cointelegraph,2026-05-22T06:35:38Z,-0.1,Negative,-0.3182,Negative,neutral,0.5315
GOOG,$2.99 | The Seventh Sword: The Complete Series (eBook) by Dave Duncan,Slickdeals.net,2026-05-21T15:20:19Z,0.1,Positive,0.0,Neutral,neutral,0.9269
GOOG,Google's AI is being manipulated. The search giant is quietly fighting back - BBC,Slashdot.org,2026-05-21T11:32:53Z,0.0,Neutral,-0.6249,Negative,negative,0.8571
GOOG,Bitcoin rallies through $77K despite spot BTC ETF outflows topping $2B,Cointelegraph,2026-05-20T21:22:03Z,0.0,Neutral,0.0,Neutral,positive,0.9283
GOOG,Arm Surges on New $300 Price Target: ARM Stock Is at the ‘Center of the Renaissance’ in CPUs,Barchart.com,2026-05-20T21:01:29Z,0.018181818181818174,Positive,0.0,Neutral,positive,0.6523
GOOG,Walmart Stock Looks Quite Risky Heading Into Q1 Results,Barchart.com,2026-05-20T16:00:02Z,0.0,Neutral,-0.2716,Negative,negative,0.556
GOOG,"Dear Snowflake Stock Fans, Mark Your Calendars for May 27",Barchart.com,2026-05-20T15:00:02Z,0.0,Neutral,0.3818,Positive,neutral,0.9328
META,The Apple Watch is 11 years old and losing momentum. Screenless rivals are winning the next phase.,The Next Web,2026-05-24T15:03:17Z,0.19999999999999998,Positive,0.2023,Positive,negative,0.8982
META,"(喝抗紊ф┨ / note, 4/26) Canada Bill C- ...",Ryukoku.ac.jp,2026-05-24T15:00:00Z,0.0,Neutral,0.0,Neutral,neutral,0.921
META,Official Trailer for Experimental Doc 'Bouchra' About a Jackal in NYC,First Showing,2026-05-24T14:47:38Z,0.1,Positive,0.0,Neutral,neutral,0.8771
META,The Ray-Ban Meta Gen 2 smart glasses just got their first-ever discount in the Memorial Day sales,TechRadar,2026-05-24T14:33:19Z,0.21428571428571427,Positive,0.4019,Positive,positive,0.7275
META,The seed oil panic is hurting my cardiac patients,STAT,2026-05-24T14:27:26Z,-0.05,Negative,-0.7184,Negative,negative,0.8095
META,Harley Quinn #62 Preview: Bat-Quinn Crashes the TV Party,Bleeding Cool News,2026-05-24T14:26:09Z,0.0,Neutral,0.4019,Positive,neutral,0.8187
META,Sean Strickland hits out at Adin Ross’ MMA event as he admits embarrassment,"HITC - Football, Gaming, Movies, TV, Music",2026-05-24T13:43:08Z,0.0,Neutral,-0.1779,Negative,negative,0.4251
META,Wells Fargo Reduces PT on Meta Platforms (META) Stock,Yahoo Entertainment,2026-05-24T13:30:32Z,0.0,Neutral,0.25,Positive,neutral,0.9104
META,4 Best Superhero TV Show Series Finales & The 3 Most Disappointing,ComicBook.com,2026-05-24T13:30:00Z,0.3,Positive,0.1796,Positive,neutral,0.8178
META,radia-mcp 0.71.0,Pypi.org,2026-05-24T13:22:28Z,0.0,Neutral,0.0,Neutral,neutral,0.8848
TSLA,Did SpaceX’s $28.5 Trillion Bombshell Reveal Elon Musk’s Genius — or Peak Galaxy Brain?,24/7 Wall St.,2026-05-24T14:59:22Z,0.0,Neutral,0.0,Neutral,neutral,0.9035
TSLA,Paul Tudor Jones makes $8 billion bet on small-cap chaos,TheStreet,2026-05-23T18:33:00Z,0.0,Neutral,-0.5719,Negative,neutral,0.9108
TSLA,MarketBeat Week in Review – 05/18 - 05/22,MarketBeat,2026-05-23T11:00:00Z,0.0,Neutral,0.0,Neutral,neutral,0.8741
TSLA,"Is Tesla, Inc. (TSLA) One of the Best ARK Stocks to Buy Right Now?",Yahoo Entertainment,2026-05-23T04:48:56Z,0.6428571428571428,Positive,0.6369,Positive,neutral,0.8584
TSLA,Tesla Is Chasing the Future of Driving. Its Stock Is Stuck in a 350x Earnings Trap,Barchart.com,2026-05-22T20:30:38Z,0.0,Neutral,-0.5106,Negative,negative,0.8631
TSLA,Apple shares hit new all-time intraday and closing highs,Macdailynews.com,2026-05-22T20:17:09Z,0.13636363636363635,Positive,0.296,Positive,positive,0.8693
TSLA,Apple shares hit new all-time intraday and closing highs,Macdailynews.com,2026-05-21T20:13:07Z,0.13636363636363635,Positive,0.296,Positive,positive,0.8693
TSLA,GraniteShares Announces Weekly Distributions for its YieldBOOST ETFs,GlobeNewswire,2026-05-21T18:05:00Z,0.0,Neutral,0.0,Neutral,neutral,0.935
TSLA,Forget Tesla for Retirees: Here Are 3 Value-Driven Automotive Stalwarts to Buy Right Now,24/7 Wall St.,2026-05-21T16:11:36Z,0.2857142857142857,Positive,-0.2263,Negative,neutral,0.9038
TSLA,"GraniteShares Announces Weekly Distributions for its YieldBOOST ETFs: COYY, TSYY, NVYY, XBTY, AMYY, TQQY, AZYY, YSPY, MTYY, PLYY, HOYY, SMYY, BBYY, FBYY, IOYY, MAAY, NUGY, SEMY, QBY, RGYY, HMYY, RTYY, MUYY, TMYY, CWY, CRY and 20+ Others",GlobeNewswire,2026-05-21T12:18:00Z,0.0,Neutral,-0.5904,Negative,neutral,0.9432
AVGO,Broadcom’s AI Packaging Bet Gets Bigger. Wall Street Is Betting on More Upside for AVGO Stock.,Barchart.com,2026-05-23T16:00:02Z,0.25,Positive,0.0,Neutral,positive,0.6979
AVGO,"These cybersecurity stocks are poised for rapid growth through 2028, and some of them are cheap right now",MarketWatch,2026-05-23T13:00:00Z,0.34285714285714286,Positive,0.5574,Positive,neutral,0.5812
AVGO,SMH vs SOXX: Which Semiconductor ETF Should You Buy in 2026?,Etf.com,2026-05-22T22:32:46Z,0.0,Neutral,-0.4648,Negative,neutral,0.9358
AVGO,Inflation Fears Weighed on Broadcom (AVGO) in Q1,Yahoo Entertainment,2026-05-22T13:29:22Z,0.0,Neutral,-0.4215,Negative,negative,0.9479
AVGO,The Best AI Stock to Buy Now for Less Than $500,Barchart.com,2026-05-22T11:30:02Z,0.4166666666666667,Positive,0.6369,Positive,neutral,0.9173
AVGO,Is Broadcom (AVGO) The Best AI Chip Stock to Buy?,Yahoo Entertainment,2026-05-21T16:13:07Z,1.0,Positive,0.6369,Positive,neutral,0.8815
AVGO,"Jim Cramer froze on live TV after seeing Trump's 3,700 stock trades — here's what's in the president's portfolio",Yahoo Entertainment,2026-05-21T14:00:00Z,0.13636363636363635,Positive,0.0,Neutral,neutral,0.92
AVGO,"Jim Cramer froze on live TV after seeing Trump's 3,700 stock trades — here's what's in the president's portfolio",Yahoo Entertainment,2026-05-21T14:00:00Z,0.13636363636363635,Positive,0.0,Neutral,neutral,0.92
AVGO,ARM’s Growth Catalysts Outweigh Concerns Related to Antitrust Investigation,Barchart.com,2026-05-21T13:30:02Z,0.0,Neutral,0.3818,Positive,positive,0.9347
AVGO,Broadcom Inc. (AVGO) Challenges EU Regulators While Barclays Sees AI Upside,Yahoo Entertainment,2026-05-21T08:42:10Z,0.0,Neutral,0.0772,Positive,negative,0.5692
COST,Creating semicon dependency?,BusinessLine,2026-05-24T15:13:22Z,0.0,Neutral,0.296,Positive,neutral,0.8164
COST,pydantic-ai-shields 0.3.3,Pypi.org,2026-05-24T15:08:16Z,0.0,Neutral,0.0,Neutral,neutral,0.9086
COST,I gave up my Bluetooth earbuds and went wired for three weeks. Here's what happened,Android Central,2026-05-24T15:07:00Z,0.0,Neutral,0.0,Neutral,neutral,0.8943
COST,DOJ Just Shut Disabled People Out of Essential Online Services for Another Year,Truthout,2026-05-24T15:04:26Z,-0.1,Negative,0.0,Neutral,negative,0.8024
COST,"Tanker crisis turns deadly: Seven road deaths in four months, health hazards indisputable",The Indian Express,2026-05-24T15:02:43Z,-0.2,Negative,-0.6249,Negative,negative,0.5723
COST,4 Changes Coming to Disney’s Hollywood Studios Next Month,disneyfoodblog.com,2026-05-24T15:00:30Z,0.0,Neutral,0.0,Neutral,neutral,0.9274
COST,Bitcoin LTH Supply Surge Does Not Reflect Real Demand — Here’s Why,newsBTC,2026-05-24T15:00:21Z,0.2,Positive,0.0951,Positive,neutral,0.88
COST,Americans are 'entrenched' in financial stress,CNBC,2026-05-24T15:00:01Z,0.0,Neutral,-0.4215,Negative,neutral,0.6413
COST,How to Mirror Shine Leather Shoes with Preston Soto of The Elegant Oxford,Gentlemansgazette.com,2026-05-24T15:00:00Z,0.5,Positive,0.4767,Positive,neutral,0.8841
COST,Car deal of the day: Hyundai Ioniq 6 with cheap charging for just £267 a month,AutoExpress,2026-05-24T15:00:00Z,0.4,Positive,0.0,Neutral,neutral,0.8068
